Area,ONS code,All households (000s),Total households in temporary accommodation,"Households in temporary accommodation per 1,000 households",Households in temporary accommodation in another local authority district,Households in temporary accommodation with children,"Households in temporary accommodation in another local authority district per 1,000 households","Households in temporary accommodation with children per 1,000 households"
England,E92000001,24192,123620,5.11,38760,78640,1.6,3.25
London,E12000007,3660,69220,18.92,31040,46260,8.48,12.64
Barking & Dagenham,E09000002,80,1100,13.69,70,860,0.86,10.72
Barnet,E09000003,157,2520,16.02,1300,1360,8.25,8.62
Bexley,E09000004,102,520,5.05,60,430,0.58,4.21
Brent,E09000005,120,NA,NA,NA,NA,NA,NA
Bromley,E09000006,144,1780,12.39,1420,980,9.86,6.82
Camden,E09000007,119,NA,NA,NA,NA,NA,NA
City of London,E09000001,4,30,7.59,30,20,7.88,3.51
Croydon,E09000008,157,3410,21.7,1080,1890,6.86,12.03
Ealing,E09000009,124,3170,25.54,1300,2300,10.46,18.57
Enfield,E09000010,132,3100,23.37,500,2220,3.78,16.73
Greenwich,E09000011,117,1820,15.47,850,1480,7.21,12.57
Hackney,E09000012,125,3400,27.24,1470,2240,11.81,17.92
Hammersmith & Fulham,E09000013,84,1390,16.67,880,1000,10.56,11.98
Haringey,E09000014,111,2640,23.8,1360,2040,12.22,18.33
Harrow,E09000015,88,1200,13.7,470,890,5.38,10.12
Havering,E09000016,108,1250,11.51,130,850,1.17,7.88
Hillingdon,E09000017,113,1450,12.86,320,920,2.82,8.15
Hounslow,E09000018,103,640,6.23,240,340,2.3,3.29
Islington,E09000019,109,1460,13.31,820,860,7.53,7.9
Kensington & Chelsea,E09000020,76,1980,26.05,490,1380,6.4,18.17
Kingston upon Thames,E09000021,71,870,12.28,290,610,4.14,8.62
Lambeth,E09000022,141,NA,NA,NA,NA,NA,NA
Lewisham,E09000023,135,2770,20.52,1170,2140,8.63,15.85
Merton,E09000024,80,590,7.41,470,430,5.81,5.39
Newham,E09000025,120,6620,55.35,2490,4690,20.82,39.22
Redbridge,E09000026,112,2920,26.16,1250,2140,11.22,19.18
Richmond upon Thames,E09000027,86,560,6.48,420,310,4.89,3.65
Southwark,E09000028,138,3870,28.05,2050,2110,14.84,15.26
Sutton,E09000029,85,1020,12.06,300,720,3.5,8.53
Tower Hamlets,E09000030,145,3090,21.32,1650,2150,11.36,14.81
Waltham Forest,E09000031,106,1360,12.89,830,960,7.89,9.14
Wandsworth,E09000032,139,3470,25.02,1600,1860,11.53,13.43
Westminster,E09000033,128,3490,27.27,2170,1830,16.92,14.33
